Horizon,Unnamed: 0,pnl,pnl.1,pnl.2,ret,ret.1,ret.2,ret.3
1 jour,,mean,std,count,mean,std,count,sharpe_like
1 jour,model,,,,,,,
1 jour,LSTM,76.95918007454897,63.09102522220329,1141,0.9338093059445003,0.8083848126130408,1141,1.1551544405255207
1 jour,Blend,68.76986670364447,60.047277795949675,1141,0.7573153235478053,0.6831425114930273,1141,1.108575898594808
1 jour,HAR,36.85318460906864,64.09862683402618,1141,0.3799372484073958,0.6414320635394138,1141,0.5923265611486813
1 jour,EWM,2.6258806544705062,63.480123790878466,1141,0.058708964418184115,0.3624947299013778,1141,0.1619581184918049
5 jours,,mean,std,count,mean,std,count,sharpe_like
5 jours,model,,,,,,,
5 jours,Blend,24.800547718703587,57.19062010773193,1141,0.2180250208346332,0.3847210798440863,1141,0.5667093181440025
5 jours,LSTM,24.800547648510417,57.19061979901119,1141,0.2180250191763402,0.38472107602294486,1141,0.5667093194623173
5 jours,HAR,10.316226563446817,64.25549906639853,1141,0.1276323454311927,0.4488265599310624,1141,0.28436896749272605
5 jours,EWM,2.6258806544705062,63.480123790878466,1141,0.058708964418184115,0.3624947299013778,1141,0.1619581184918049
